Case Number,Case Title,Evidence ID,Evidence Type,Artifact Title,Target Filename,Prompt
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-002,CCTV_FOOTAGE,Nizamuddin Gold — Visual Artifact 02,97ab9b3c8a066890e017b4a5f9da158c1168ede5d5842f28466498415003ac98.png,"Grainy 1080p surveillance CCTV security camera frame at night, Nizamuddin Railway Station & Vault, Delhi, depicting Nizamuddin Gold — Visual Artifact 02 (Nizamuddin Gold Bar Theft (2018)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-003,SKETCH,Nizamuddin Gold — Visual Artifact 03,6c2c71be305e9744f908ef15ad34f7c46447f541af834613431b759551dd09ce.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for Nizamuddin Gold Bar Theft (2018), police department evidence stamp on margin: Nizamuddin Gold — Visual Artifact 03."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-004,PHYSICAL_EVIDENCE,Nizamuddin Gold — Visual Artifact 04,155a70541426673a9fa86b7120f9811384a399ef02e7a2ffa7d25ac0474d20a2.png,"Macro forensic photograph of physical evidence item (Nizamuddin Gold — Visual Artifact 04) for Nizamuddin Gold Bar Theft (2018), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-005,PHOTOGRAPH,Nizamuddin Gold — Visual Artifact 05,c32d7b6d6f497fae5e4b6387da10a83f8ba4a5383403095edf18e52e038b8b40.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Nizamuddin Railway Station & Vault, Delhi: Nizamuddin Gold — Visual Artifact 05 related to Nizamuddin Gold Bar Theft (2018). Indian Police investigation unit evidence standards."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-006,PHOTOGRAPH,Nizamuddin Gold — Visual Artifact 06,2cf9be2fad976b97629264426af86375b33edc04fdbdaf540d5c85c68d8dabe8.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Nizamuddin Railway Station & Vault, Delhi: Nizamuddin Gold — Visual Artifact 06 related to Nizamuddin Gold Bar Theft (2018). Indian Police investigation unit evidence standards."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-007,CCTV_FOOTAGE,Nizamuddin Gold — Visual Artifact 07,37208ee8769290feb06ebf32517aacc199e87a231197f2b1791e639b6674de85.png,"Grainy 1080p surveillance CCTV security camera frame at night, Nizamuddin Railway Station & Vault, Delhi, depicting Nizamuddin Gold — Visual Artifact 07 (Nizamuddin Gold Bar Theft (2018)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-008,PHOTOGRAPH,Nizamuddin Gold — Visual Artifact 08,5ae1795818fbf03af855e582a222bc61d4a47fbb9c9a60e1247b08a11376b73e.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Nizamuddin Railway Station & Vault, Delhi: Nizamuddin Gold — Visual Artifact 08 related to Nizamuddin Gold Bar Theft (2018). Indian Police investigation unit evidence standards."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-009,SKETCH,Nizamuddin Gold — Visual Artifact 09,d1b63a2e1d83ba91ee118fed0e0aac30309ecb69a9f534f1becf98bde2cdf204.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for Nizamuddin Gold Bar Theft (2018), police department evidence stamp on margin: Nizamuddin Gold — Visual Artifact 09."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-010,PHYSICAL_EVIDENCE,Nizamuddin Gold — Visual Artifact 10,328c1a8b2340c4f7bd52394df9196576e804c7f46b759810c6f7e122ddefae1c.png,"Macro forensic photograph of physical evidence item (Nizamuddin Gold — Visual Artifact 10) for Nizamuddin Gold Bar Theft (2018), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-011,PHOTOGRAPH,Nizamuddin Gold — Visual Artifact 11,ae0ecaa48ce79a153aafcfe9ea353bc4e35445e9d85d2d8d8bcb42c2a08b4b0b.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Nizamuddin Railway Station & Vault, Delhi: Nizamuddin Gold — Visual Artifact 11 related to Nizamuddin Gold Bar Theft (2018). Indian Police investigation unit evidence standards."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-012,CCTV_FOOTAGE,Nizamuddin Gold — Visual Artifact 12,dbd782660324221601c3c1c054872cb74bf45e9849a315ab1496ad6cf1bbda8e.png,"Grainy 1080p surveillance CCTV security camera frame at night, Nizamuddin Railway Station & Vault, Delhi, depicting Nizamuddin Gold — Visual Artifact 12 (Nizamuddin Gold Bar Theft (2018)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-013,PHOTOGRAPH,Nizamuddin Gold — Visual Artifact 13,f2e13f3dea37374833d8bf93495fde244ad85c9dddef7bb8fc2d2c008435ef3a.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Nizamuddin Railway Station & Vault, Delhi: Nizamuddin Gold — Visual Artifact 13 related to Nizamuddin Gold Bar Theft (2018). Indian Police investigation unit evidence standards."
CIV-2018-036,Nizamuddin Gold Bar Theft,VIS-036-014,PHYSICAL_EVIDENCE,Nizamuddin Gold — Visual Artifact 14,a65e8ed051605c556f8ddce8f9e3e56bbcc4580b6d2a5b40b4622e2d7005cf32.png,"Macro forensic photograph of physical evidence item (Nizamuddin Gold — Visual Artifact 14) for Nizamuddin Gold Bar Theft (2018), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2021-003,NH-48 Dacoity with Truck Heist,EVD-003-002,CCTV_FOOTAGE,CAM-02 — Bolero HR-06UH-3818 Parked,df26c5a55313f87c048e3840e8a848275cbd9a0bdea5a62bc158a2f82624bec9.png,"Grainy 1080p surveillance CCTV security camera frame at night, National Highway 48 (Gurugram - Delhi Border), depicting CAM-02 — Bolero HR-06UH-3818 Parked (NH-48 Dacoity with Truck Heist (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-001,PHOTOGRAPH,CIVIX-003 — Visual Artifact 01,3dadd044102f1090011f92c783c948da6aeb3053b6bc65de446a8cbdee2797c6.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at National Highway 48 (Gurugram - Delhi Border): CIVIX-003 — Visual Artifact 01 related to NH-48 Dacoity with Truck Heist (2021). Indian Police investigation unit evidence standards."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-002,CCTV_FOOTAGE,CIVIX-003 — Visual Artifact 02,06d583109a1e1540a3eda931786cffc179f6d6c6dbea4f1d300af4b414c58925.png,"Grainy 1080p surveillance CCTV security camera frame at night, National Highway 48 (Gurugram - Delhi Border), depicting CIVIX-003 — Visual Artifact 02 (NH-48 Dacoity with Truck Heist (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-003,SKETCH,CIVIX-003 — Visual Artifact 03,ed46ba85553e6a9e7333c6dbadcaa966e7878822c4a10fa2dd0fc3cef33a7ad2.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for NH-48 Dacoity with Truck Heist (2021), police department evidence stamp on margin: CIVIX-003 — Visual Artifact 03."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-004,PHYSICAL_EVIDENCE,CIVIX-003 — Visual Artifact 04,7e606a43eafb8bc40055e3dfd06c0c941105430e5fb6e5ceeaa804b633013554.png,"Macro forensic photograph of physical evidence item (CIVIX-003 — Visual Artifact 04) for NH-48 Dacoity with Truck Heist (2021), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-005,PHOTOGRAPH,CIVIX-003 — Visual Artifact 05,65f7b505910eabbacef3a3edab74bf5d677dfb53c6cf70ade75ee7c6484f4f27.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at National Highway 48 (Gurugram - Delhi Border): CIVIX-003 — Visual Artifact 05 related to NH-48 Dacoity with Truck Heist (2021). Indian Police investigation unit evidence standards."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-006,PHOTOGRAPH,CIVIX-003 — Visual Artifact 06,23910c03facb035097eb51789b5f3f95bbf6f1a2b82e4fd2e12c8760d3fb92e4.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at National Highway 48 (Gurugram - Delhi Border): CIVIX-003 — Visual Artifact 06 related to NH-48 Dacoity with Truck Heist (2021). Indian Police investigation unit evidence standards."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-007,CCTV_FOOTAGE,CIVIX-003 — Visual Artifact 07,1870fad07c0a8e6df3e02ae395a4f8efa236aa8d82b38c0418ada5ffcccd50de.png,"Grainy 1080p surveillance CCTV security camera frame at night, National Highway 48 (Gurugram - Delhi Border), depicting CIVIX-003 — Visual Artifact 07 (NH-48 Dacoity with Truck Heist (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-008,PHOTOGRAPH,CIVIX-003 — Visual Artifact 08,83e40bbb817a8b85999dc6a85f5e83fd9be7e1883927ce692c89623de64f3bc8.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at National Highway 48 (Gurugram - Delhi Border): CIVIX-003 — Visual Artifact 08 related to NH-48 Dacoity with Truck Heist (2021). Indian Police investigation unit evidence standards."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-009,SKETCH,CIVIX-003 — Visual Artifact 09,21c98b2f195705b7c007aa708b25cdb820485287baee9d1436542ca4cf790080.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for NH-48 Dacoity with Truck Heist (2021), police department evidence stamp on margin: CIVIX-003 — Visual Artifact 09."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-010,PHYSICAL_EVIDENCE,CIVIX-003 — Visual Artifact 10,5696093a08a766b18cce767e205495bac3ea7de2e68450b7742db4b646c5ed32.png,"Macro forensic photograph of physical evidence item (CIVIX-003 — Visual Artifact 10) for NH-48 Dacoity with Truck Heist (2021), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-011,PHOTOGRAPH,CIVIX-003 — Visual Artifact 11,a02a12a65b0e470c047dcab0f3a224c144af3a33605ba310c885a650026edc7c.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at National Highway 48 (Gurugram - Delhi Border): CIVIX-003 — Visual Artifact 11 related to NH-48 Dacoity with Truck Heist (2021). Indian Police investigation unit evidence standards."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-012,CCTV_FOOTAGE,CIVIX-003 — Visual Artifact 12,f4aec0be41723a0634241c019493a0e597da3135a71f4d0c15f208de6dabb224.png,"Grainy 1080p surveillance CCTV security camera frame at night, National Highway 48 (Gurugram - Delhi Border), depicting CIVIX-003 — Visual Artifact 12 (NH-48 Dacoity with Truck Heist (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-013,PHOTOGRAPH,CIVIX-003 — Visual Artifact 13,f996db7b6ed306897d6c40f5b819da0becebef865227580aa4405dc668421c6c.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at National Highway 48 (Gurugram - Delhi Border): CIVIX-003 — Visual Artifact 13 related to NH-48 Dacoity with Truck Heist (2021). Indian Police investigation unit evidence standards."
CIV-2021-003,NH-48 Dacoity with Truck Heist,VIS-003-014,PHYSICAL_EVIDENCE,CIVIX-003 — Visual Artifact 14,ee677b0d7918786abe589eb741623529caf642f3c747309c0228017106f673c5.png,"Macro forensic photograph of physical evidence item (CIVIX-003 — Visual Artifact 14) for NH-48 Dacoity with Truck Heist (2021), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2021-027,KYC Phishing Ring — Shahdara,EVD-027-011,CCTV_FOOTAGE,KYC Phishing — Evidence Item 11,e88de4fa7fd022850e82bdc404ba9a2ec0fd98e66042345302d921158188cbb0.png,"Grainy 1080p surveillance CCTV security camera frame at night, Shahdara Cyber Cell Raid, East Delhi, depicting KYC Phishing — Evidence Item 11 (KYC Phishing Ring — Shahdara (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-001,PHOTOGRAPH,KYC Phishing — Visual Artifact 01,beef0ba9e4cbd618494aa6b6e8d86b22031575029054fd5cd8422528bedec846.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Shahdara Cyber Cell Raid, East Delhi: KYC Phishing — Visual Artifact 01 related to KYC Phishing Ring — Shahdara (2021). Indian Police investigation unit evidence standards."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-002,CCTV_FOOTAGE,KYC Phishing — Visual Artifact 02,217a877dce568338f2982c3381434736eefa1ffe4ce1048ef4987da6dd41d8e7.png,"Grainy 1080p surveillance CCTV security camera frame at night, Shahdara Cyber Cell Raid, East Delhi, depicting KYC Phishing — Visual Artifact 02 (KYC Phishing Ring — Shahdara (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-003,SKETCH,KYC Phishing — Visual Artifact 03,49bcdeda9db1134e16484eec6940aff6e56d43fa0d91f6b746a60c62f2ffa8fd.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for KYC Phishing Ring — Shahdara (2021), police department evidence stamp on margin: KYC Phishing — Visual Artifact 03."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-004,PHYSICAL_EVIDENCE,KYC Phishing — Visual Artifact 04,470c703fff0a49fa59550d979dec6f396e96a33763e029007abd9268cf8d7c8f.png,"Macro forensic photograph of physical evidence item (KYC Phishing — Visual Artifact 04) for KYC Phishing Ring — Shahdara (2021), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-005,PHOTOGRAPH,KYC Phishing — Visual Artifact 05,de3b5838d1001dd240c9d48adaefe5ac0a219cfe6a0b8dba86d9fb3880aed90b.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Shahdara Cyber Cell Raid, East Delhi: KYC Phishing — Visual Artifact 05 related to KYC Phishing Ring — Shahdara (2021). Indian Police investigation unit evidence standards."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-006,PHOTOGRAPH,KYC Phishing — Visual Artifact 06,2ffbb3091f06b16777f085b3b51477f6e517c66eb83052241cdd7ae94fcec5f4.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Shahdara Cyber Cell Raid, East Delhi: KYC Phishing — Visual Artifact 06 related to KYC Phishing Ring — Shahdara (2021). Indian Police investigation unit evidence standards."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-007,CCTV_FOOTAGE,KYC Phishing — Visual Artifact 07,08866a1cd6a79c9b220df736dbdb0e0254fda0ee2762cabea6b020d822528e51.png,"Grainy 1080p surveillance CCTV security camera frame at night, Shahdara Cyber Cell Raid, East Delhi, depicting KYC Phishing — Visual Artifact 07 (KYC Phishing Ring — Shahdara (2021)). Dark urban environment, overhead streetlights, digital timestamp and red REC [LIVE] indicator overlay in corner, forensic law enforcement evidence camera capture."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-008,PHOTOGRAPH,KYC Phishing — Visual Artifact 08,69a5fd715d4350d060eb994fa418e86da7a44976a338774a71cf6d7d135bd9a6.png,"Authentic field crime scene photograph captured with 35mm DSLR lens, realistic lighting, detailed forensic evidence capture at Shahdara Cyber Cell Raid, East Delhi: KYC Phishing — Visual Artifact 08 related to KYC Phishing Ring — Shahdara (2021). Indian Police investigation unit evidence standards."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-009,SKETCH,KYC Phishing — Visual Artifact 09,aac3aa49a1d0e23efe9d4f38eaa51c12e6fc622aee2b4315df22a98c0866d70d.png,"Police forensic composite suspect sketch on textured paper, detailed hand-drawn pencil and charcoal portrait, front view portrait of male suspect for KYC Phishing Ring — Shahdara (2021), police department evidence stamp on margin: KYC Phishing — Visual Artifact 09."
CIV-2021-027,KYC Phishing Ring — Shahdara,VIS-027-010,PHYSICAL_EVIDENCE,KYC Phishing — Visual Artifact 10,293f365caa97587bef5ac4b3bf97c96cce0d8466866fba63a68225cdcde2b9ba.png,"Macro forensic photograph of physical evidence item (KYC Phishing — Visual Artifact 10) for KYC Phishing Ring — Shahdara (2021), placed on dark laboratory surface in Indian police forensic lab, yellow metric centimeter scale ruler alongside, sharp focus, professional laboratory evidence lighting."
